DateTime,Gas_Price_Rial,Bazargan_vehicles,Sarv_vehicles,Razi_vehicles,Total_vehicles
2016-04,54525.8,55898,287927,50681,394506
2016-05,53707.5,58716,213369,50864,322949
2016-06,54699.5,56205,275561,46368,378134
2016-07,51156.0,53352,320694,50340,424386
2016-08,54066.4,58006,341838,51209,451053
2016-09,56611.4,56519,382612,52221,491352
2016-10,56943.9,45448,305829,44511,395788
2016-11,57052.1,23584,241827,22184,287595
2016-12,56758.0,27681,291259,24035,342975
2017-01,54711.8,28324,268313,27006,323643
2017-02,54489.6,29214,229395,21196,279805
2017-03,53108.0,41894,291017,9870,342781
2017-04,55751.6,41339,374135,32593,448067
2017-05,54143.0,44753,373361,42536,460650
2017-06,53803.8,41882,329108,34099,405089
2017-07,56521.2,43775,186774,44077,274626
2017-08,58497.4,44280,155103,49302,248685
2017-09,58273.9,41696,306554,47999,396249
2017-10,59246.8,41192,275168,42886,359246
2017-11,60015.5,39216,246611,38269,324096
2017-12,63462.4,39849,262073,35124,337046
2018-01,72028.5,41555,23592,27567,92714
2018-02,66603.0,40384,167126,45233,252743
2018-03,75435.0,58616,316069,59506,434191
2018-04,90071.5,52571,353373,56949,462893
2018-05,89727.6,49071,392561,50714,492346
2018-06,113668.8,50589,386678,52734,490001
2018-07,136714.2,51129,415544,42723,509396
2018-08,124197.9,51061,415169,57363,523593
2018-09,177570.9,50603,413509,54443,518555
2018-10,153670.0,49382,414600,49536,513518
2018-11,135160.2,44990,366296,45579,456865
2018-12,118650.0,39270,335534,41666,416470
2019-01,139830.0,44431,309746,41442,395619
2019-02,161040.0,42757,309020,40688,392465
2019-03,167640.0,52730,299939,46764,399433
2019-04,174084.0,54933,395176,61169,511278
2019-05,160266.6,56353,416556,58770,531679
2019-06,154866.6,56923,419116,65177,541216
2019-07,152195.4,59381,458573,61754,579708
2019-08,133169.4,61069,450138,70804,582011
2019-09,141462.3,60653,441736,66176,568565
2019-10,134939.2,50976,386697,56135,493808
2019-11,155025.2,36152,346987,46633,429772
2019-12,159588.0,45523,357778,42893,446194
2020-01,158347.8,40575,282075,38961,361611
2020-02,173667.2,36397,259058,46937,342392
2020-03,122204.6,35069,276254,51878,363201
2020-04,115440.0,33890,321699,49139,404728
2020-05,155777.6,35974,337999,52873,426846
2020-06,189308.4,68972,277633,46366,392971
2020-07,215068.4,49857,430693,56366,536916
2020-08,221676.0,47818,523056,59784,630658
2020-09,257767.8,48022,622033,61173,731228
2020-10,227107.2,48863,495570,60453,604886
2020-11,236232.0,44690,320199,55029,419918
2020-12,249522.8,42424,120015,51452,213891
2021-01,238441.5,38667,212775,48038,299480
2021-02,251707.5,35354,391972,49013,476339
2021-03,218892.0,49207,475284,58154,582645
2021-04,202179.3,60416,278474,67566,406456
2021-05,221075.4,60659,370738,26940,458337
2021-06,226377.0,61962,383323,63699,508984
2021-07,234498.8,52538,342842,55482,450862
2021-08,254129.0,55678,418076,54438,528192
2021-09,253391.9,57209,443140,56817,557166
2021-10,244785.6,57964,436235,64716,558915
2021-11,239358.0,56555,391765,59151,507471
2021-12,266427.0,55939,360185,55216,471340
2022-01,285584.0,48622,132193,52829,233644
2022-02,316773.0,49719,221180,52768,323667
2022-03,366039.0,59949,397073,67106,524128
2022-04,385764.6,64927,449235,75651,589813
2022-05,482225.4,63229,511624,84799,659652
2022-06,476695.7,64333,484841,79303,628477
2022-07,396287.5,63121,525833,82409,671363
2022-08,331923.3,61467,415903,80972,558342
2022-09,347655.0,58548,383738,80735,523021
2022-10,374886.4,45405,394991,55714,496110
2022-11,387590.4,14480,115912,18584,148976
2022-12,411740.0,55443,434579,64290,554312
2023-01,505155.2,52830,407568,62737,523135
2023-02,612161.0,47767,346801,52320,446888
2023-03,620809.8,43172,311430,49758,404360
